,i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural,total,under_4,frac_under_4,under_9,frac_under_9
1340,1341,2000,Central,1,1,2,1,0,2,1,0,0,0,1,1,0,0,2.302585093,0,10,2,0.2,5,0.5
1341,1342,2000,Central,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1.098612289,0,3,0,0.0,0,0.0
1342,1343,2000,Central,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.098612289,0,3,0,0.0,2,0.6666666666666666
1343,1344,2000,Central,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912,0,5,2,0.4,3,0.6
1344,1345,2000,Central,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1.945910149,0,7,1,0.14285714285714285,2,0.2857142857142857
1345,1346,2000,Central,0,0,0,1,0,2,0,1,2,0,0,1,0,0,1.945910149,0,7,0,0.0,1,0.14285714285714285
1346,1347,2000,Central,0,0,0,1,0,2,0,0,1,0,1,1,0,0,1.791759469,0,6,0,0.0,1,0.16666666666666666
1347,1348,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,0,0.0,0,0.0
1358,1359,2000,Central,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1.791759469,0,6,1,0.16666666666666666,3,0.5
1359,1360,2000,Central,2,0,0,0,0,0,2,0,0,0,1,1,0,0,1.791759469,0,6,2,0.3333333333333333,2,0.3333333333333333
1360,1361,2000,Central,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1.609437912,0,5,2,0.4,2,0.4
1361,1362,2000,Central,0,0,0,1,1,1,0,2,1,1,0,1,1,0,2.197224577,0,9,0,0.0,1,0.1111111111111111
1362,1363,2000,Central,2,1,1,1,2,0,0,0,1,1,0,0,0,0,2.197224577,0,9,3,0.3333333333333333,5,0.5555555555555556
1363,1364,2000,Central,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1.386294361,0,4,0,0.0,0,0.0
1364,1365,2000,Central,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1.609437912,0,5,0,0.0,0,0.0
1365,1366,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.098612289,0,3,0,0.0,0,0.0
1366,1367,2000,Central,0,0,0,0,0,0,1,1,2,1,0,0,1,1,1.945910149,0,7,0,0.0,0,0.0
1367,1368,2000,Central,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1.609437912,0,5,0,0.0,3,0.6
1368,1369,2000,Central,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,0,4,2,0.5,2,0.5
1369,1370,2000,Central,0,0,0,1,1,1,1,1,0,2,1,1,0,1,2.302585093,0,10,0,0.0,1,0.1
1370,1371,2000,Central,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289,0,3,0,0.0,0,0.0
1371,1372,2000,Central,0,0,0,0,2,0,1,1,4,0,0,0,1,1,2.302585093,0,10,0,0.0,0,0.0
1372,1373,2000,Central,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1.386294361,0,4,0,0.0,0,0.0
1373,1374,2000,Central,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806,0,2,0,0.0,0,0.0
1374,1375,2000,Central,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361,0,4,1,0.25,2,0.5
1375,1376,2000,Central,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0,3,1,0.3333333333333333,1,0.3333333333333333
1376,1377,2000,Central,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6931471806,0,2,0,0.0,0,0.0
1377,1378,2000,Central,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1.386294361,0,4,0,0.0,0,0.0
1378,1379,2000,Central,1,0,0,0,0,0,0,1,2,0,1,1,0,0,1.791759469,0,6,1,0.16666666666666666,1,0.16666666666666666
1379,1380,2000,Central,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1.609437912,0,5,1,0.2,2,0.4
1380,1381,2000,Central,1,1,2,0,1,0,0,0,0,1,1,0,0,0,1.945910149,0,7,2,0.2857142857142857,4,0.5714285714285714
1461,1462,2000,Central,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,1,0,0.0,0,0.0
1462,1463,2000,Central,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1.791759469,0,6,2,0.3333333333333333,4,0.6666666666666666
1463,1464,2000,Central,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1.609437912,0,5,1,0.2,2,0.4
1464,1465,2000,Central,0,0,1,0,0,2,1,1,0,0,0,1,0,0,1.791759469,0,6,0,0.0,1,0.16666666666666666
1465,1466,2000,Central,0,0,1,0,1,2,0,1,0,1,0,1,0,0,1.945910149,0,7,0,0.0,1,0.14285714285714285
1466,1467,2000,Central,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361,0,4,1,0.25,2,0.5
1467,1468,2000,Central,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1.609437912,0,5,3,0.6,3,0.6
